src,in_src,out_src,dst,in_dst,out_dst,bound,runtime,profit
15722157,6,96,68085257,1,119,4,38,0.25
2680397,46,101,1439427,32,173,1,5,0.26
2139390,152,182,3248499,27,107,1,6,0.74
1643731,75,103,44279560,140,162,4,1166,0.59
57161,2050,172,43629921,28,87,4,775,0.75
6744757,941,115,8928720,116,80,3,494,1.82
24189727,88,86,25852946,151,628,4,950,0.49
4619790,127,110,39182558,1,84,3,11,1.44
66590239,27,84,10580834,21,87,3,82,1.41
62836736,1,349,30110298,74,79,3,296,0.29
3167609,109,159,8725179,17,192,4,546,2.06
23345280,30,116,64185326,28,102,2,8,1.98
6026198,63,91,1944577,17,112,2,7,0.37
7125322,77,104,44735,287,216,4,1765,0.69
8764699,52,135,203754,151,132,3,569,2.04
680559,69,80,47580217,0,95,1,5,0.09
150708,98,101,15127629,54,92,2,10,0.08
236130,656,170,1790369,46,105,4,967,2.02
60271006,35,81,18760878,36,86,2,8,1.03
51780238,15,243,1844716,96,151,4,1258,0.62
17454434,136,81,21732,457,417,1,4,0.89
266872,289,127,51273359,25,97,2,8,0.73
68594098,8,248,23878948,4,115,1,5,1.5
12854679,60,138,21970485,53,111,2,8,1.67
4248843,63,78,63964812,0,202,1,4,1.29
665173,108,98,36172536,3,296,4,112,0.75
40750834,10,123,286989,1763,209,4,8130,1.87
15994971,28,91,32653,1361,328,3,325,0.49
2806889,134,123,48795986,91,115,3,441,1.55
368436,262,159,2043747,6,96,3,29,0.65
11929939,11,83,952100,24,270,1,4,0.71
68686,400,160,6545572,131,164,3,546,0.46
731653,56,154,2775130,155,127,2,9,0.15
8561534,33,110,18524,7785,1273,2,31,1.42
7508245,10,82,9302708,38,152,3,156,0.12
23204105,91,153,8192835,21,93,3,90,1.7
89777,1728,93,63428,331,107,1,4,1.13
66588098,9,93,4153976,89,150,4,787,0.01
6331800,345,163,192929,119,184,3,504,2.18
46508808,92,139,5930309,162,93,1,4,0.51
63572,513,132,136449,106,155,2,8,1.42
6800719,150,127,111056,161,100,3,543,2.77
64534250,5,127,1599293,55,84,1,5,1.94
39489348,3,112,26714,5293,1156,3,488,0.15
90050,255,116,49514291,17,79,4,524,1.61
288291,67,92,504022,1,194,1,4,1.08
4103378,25,91,7534826,51,114,1,3,0.24
491375,265,219,368995,554,169,3,1013,1.66
3613070,95,97,51597724,62,96,1,4,0.31
60691362,1,79,21930793,10,239,1,4,0.33
26388,4358,546,716132,6,209,2,9,0.7
27747029,12,92,5028313,37,85,2,7,0.92
529574,68,79,49676,298,220,3,366,2.94
22380748,123,79,598272,76,89,4,691,1.2
10840880,121,97,13522370,40,96,3,166,2.33
2633557,22,83,1150775,118,132,2,9,1.56
47634736,54,116,2261155,23,93,2,7,0.18
19762070,94,101,56066305,2,307,1,4,0.5
3393069,33,77,28951957,765,197,3,353,2.03
13433156,8,174,475212,50,176,2,7,1.01
18953151,30,86,52028,1198,281,1,4,1.15
64223181,0,137,8643392,70,85,4,847,1.47
1187183,35,285,214234,114,121,2,10,1.56
108638,383,115,7917619,54,112,3,256,1.1
12635337,31,95,42725452,27,91,3,121,0.61
2513564,58,166,22511551,13,111,3,92,0.84
13288556,40,99,21197708,171,233,3,450,0.15
689567,377,209,41077191,77,136,3,276,0.37
12298020,3,511,32469135,18,94,1,7,0.33
47617575,3,187,8656810,4,110,4,663,0.77
105891,238,137,6829675,20,95,2,8,2.63
2322291,38,94,24676419,4,276,2,7,2.18
13597537,51,129,2634825,82,324,4,1034,1.62
66547754,16,86,1704399,25,89,2,8,1.16
29056,388,248,486888,83,109,2,8,1.12
43330312,4,197,241207,136,323,1,4,0.99
301394,322,97,8301028,115,128,1,4,1.96
499822,132,142,27331,45,143,3,191,3.11
19667444,54,129,564774,314,109,4,1612,1.41
5842589,10,93,528410,122,96,2,8,0.13
7882712,37,80,984731,101,97,2,7,0.47
274755,92,129,37926605,40,94,1,4,1.8
12284476,2,118,28356,150,89,4,1188,0.23
2574560,39,3200,1273850,293,153,1,16,0.64
1562174,110,185,5198353,38,110,4,903,0.01
20603860,298,167,20361461,2,116,2,8,0.13
20288459,24,90,3112878,26,91,4,483,2.57
8977793,115,340,38151139,25,410,4,210,0.36
7328806,17,77,2397004,115,164,1,4,2.89
145031,604,928,2357543,105,91,1,7,2.51
990295,216,133,63842822,1,103,3,11,0.62
1829283,47,113,43808055,12,518,1,4,0.58
62666746,1,177,23181518,10,114,1,5,2.18
48752610,53,82,622300,51,123,2,8,0.63
1036067,93,122,16829936,77,100,3,337,1.73
871790,45,119,43276382,12,84,1,4,1.58
29342321,255,83,5208498,113,158,1,4,2.75
57845707,0,202,13026587,26,113,4,764,0.17
23579592,87,127,27335148,38,155,3,165,0.24
42289555,15,92,4376642,435,112,3,434,1.11
874995,396,83,63921679,11,201,4,385,1.1
2347575,60,160,3433647,41,242,3,215,1.48
51268376,28,87,245682,81,127,2,9,0.63
12365907,19,79,10322337,68,333,1,5,1.05
3576037,160,186,58924390,13,103,1,5,0.41
1182284,66,352,80710,401,217,3,1441,1.05
14599,289,168,3459107,71,93,1,4,0.32
49322067,59,81,12396679,71,83,4,637,0.46
2318751,50,98,11119118,91,89,2,10,2.21
28290418,43,117,333239,107,90,4,966,0.4
2645181,420,90,26066321,10,272,3,48,2.33
1267467,26,79,59113338,24,80,1,4,0.66
37067908,8,135,12965562,38,88,4,734,1.04
